system:index;NDVI_mean;month;year
56_0;7435.356935746999;10.0;2004.0
57_0;7174.486545983024;11.0;2004.0
58_0;6612.965390725733;12.0;2004.0
59_0;5107.12776151089;1.0;2005.0
60_0;3683.989477583757;2.0;2005.0
61_0;5280.137603567783;3.0;2005.0
62_0;7482.225134825127;4.0;2005.0
63_0;7557.896382340568;5.0;2005.0
64_0;5594.000210163351;6.0;2005.0
65_0;4070.3509799311755;7.0;2005.0
66_0;2418.5121609780053;8.0;2005.0
67_0;5860.783225401974;9.0;2005.0
68_0;6542.674481893881;10.0;2005.0
69_0;7287.572759266771;11.0;2005.0
70_0;5677.483867290736;12.0;2005.0
71_0;5445.745239265633;1.0;2006.0
72_0;4887.881261265103;2.0;2006.0
73_0;5513.609448802062;3.0;2006.0
74_0;6468.865189111394;4.0;2006.0
75_0;7454.627700955344;5.0;2006.0
76_0;6801.57812733761;6.0;2006.0
77_0;3873.658441798989;7.0;2006.0
78_0;3112.790381642405;8.0;2006.0
79_0;6290.411403677495;9.0;2006.0
80_0;6703.7208674403455;10.0;2006.0
81_0;7439.105747789714;11.0;2006.0
82_0;6284.7202725711795;12.0;2006.0
83_0;3783.598880078646;1.0;2007.0
84_0;4586.7692869406565;2.0;2007.0
85_0;5053.247640114837;3.0;2007.0
86_0;7243.784703669656;4.0;2007.0
87_0;7714.795411314613;5.0;2007.0
88_0;6315.524154537741;6.0;2007.0
89_0;8033.36329051699;7.0;2007.0
90_0;5936.413576552885;8.0;2007.0
91_0;7047.4093839720035;9.0;2007.0
92_0;7003.109384684424;10.0;2007.0
93_0;6957.269472169375;11.0;2007.0
94_0;5676.406737338539;12.0;2007.0
95_0;5014.5144763370245;1.0;2008.0
96_0;3423.995889347206;2.0;2008.0
97_0;5085.244434233109;3.0;2008.0
98_0;6926.363564797985;4.0;2008.0
99_0;7257.260349654824;5.0;2008.0
100_0;7205.835727058343;6.0;2008.0
101_0;6623.957657426593;7.0;2008.0
102_0;2837.243258743148;8.0;2008.0
103_0;5985.020492708395;9.0;2008.0
104_0;7421.185880584457;10.0;2008.0
105_0;7459.0410922795145;11.0;2008.0
106_0;6297.029494111853;12.0;2008.0
107_0;5516.34963702294;1.0;2009.0
108_0;4105.722534498842;2.0;2009.0
109_0;5507.297915464455;3.0;2009.0
110_0;7257.383804597937;4.0;2009.0
111_0;7460.855617773396;5.0;2009.0
112_0;5014.60423033903;6.0;2009.0
113_0;5107.5186617937225;7.0;2009.0
114_0;2866.5237983286634;8.0;2009.0
115_0;6496.110802396564;9.0;2009.0
116_0;7541.522822315775;10.0;2009.0
117_0;6883.886130643234;11.0;2009.0
118_0;6267.202661594239;12.0;2009.0
119_0;5212.835349476726;1.0;2010.0
120_0;4237.302428633504;2.0;2010.0
121_0;6589.644984219927;3.0;2010.0
122_0;7775.648282716014;4.0;2010.0
123_0;5905.811469219969;5.0;2010.0
124_0;6313.802250528959;6.0;2010.0
125_0;7881.088952531568;7.0;2010.0
